Name for general log file in var/log,Name for general log file in var/log
Name for the API log file in var/log,Name for the API log file in var/log
The log level to output in logfile,"Define the log level here"
accountHolder,Account Holder
"The level of logging to output to files","The level of logging to output to files"
"Yes","Yes"
"No","No"
"Order canceled due to fraud","Order canceled due to fraud"
"Extended fraud check being processed","Extended fraud check being processed"
"Cash in advance is pending","Cash in advance is pending"
"Got paid notification","Got paid notification"
"Waiting for capture","Waiting for capture"
"The payment failed","The payment failed"
"Charge back was done on this order","Charge back was done on this order"
"Payment was cleared","Payment was cleared"
"Payment is in dunning","Payment is in dunning"
"Prepaid full payment %s","Prepaid full payment %s"
"Prepaid partial payment %s","Prepaid partial payment %s"
"Invoice Settings","Invoice Settings"
"Add Invoice Information to Bill Transactions","Add Invoice Information to Bill Transactions"
"Payment Target (days)","Payment Target (days)"
"The due date for any bill payment defaults to 30 days after the invoice creation date. The payment target days are then added to this amount to give the final due date. For example; a payment target of 10 days would give a due date of 40 days after the invoice creation date.","The due date for any bill payment defaults to 30 days after the invoice creation date. The payment target days are then added to this amount to give the final due date. For example; a payment target of 10 days would give a due date of 40 days after the invoice creation date."
Payment iframe Dimensions Desktop,Payment iframe Dimensions Desktop
Units,Units
Select the units used for width and height,Select the units used for width and height
Width,Width
Select the width of the iframe,Select the width of the iframe
Height,Height
Select the height of the iframe,Select the height of the iframe
Automatically set iframe size,Automatically set iframe size
Overrides width and height settings to be 800x600 px,Overrides width and height settings to be 800x600 px
Payment iframe Dimensions Mobile,Payment iframe Dimensions Mobile
Set maximum browser width to be considered a mobile browser (px),Set maximum browser width to be considered a mobile browser (px)
All devices with a width smaller than or equal to this value will get an iframe which takes up 100% of the screen,All devices with a width smaller than or equal to this value will get an iframe which takes up 100% of the screen
General,General
Wholesale,Wholesale
VIP Member,VIP Member
Private Sales Member,Private Sales Member
